goos: linux
goarch: amd64
pkg: github.com/yourusername/bolt/benchmarks
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkRouter_MixedRoutes/Wildcard-8       	 2941422	       399.4 ns/op	      56 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Wildcard-8       	 2939438	       388.9 ns/op	      56 B/op	       4 allocs/op
BenchmarkRouter_ParamExtraction_Single-8     	 7266111	       182.3 ns/op	       6 B/op	       2 allocs/op
BenchmarkRouter_ParamExtraction_Single-8     	 6117727	       187.2 ns/op	       6 B/op	       2 allocs/op
BenchmarkRouter_ParamExtraction_Single-8     	 5992615	       178.6 ns/op	       6 B/op	       2 allocs/op
BenchmarkRouter_ParamExtraction_Single-8     	 6464242	       185.8 ns/op	       6 B/op	       2 allocs/op
BenchmarkRouter_ParamExtraction_Single-8     	 6675603	       182.0 ns/op	       6 B/op	       2 allocs/op
BenchmarkRouter_ParamExtraction_Multiple-8   	 3084998	       362.8 ns/op	      48 B/op	       6 allocs/op
BenchmarkRouter_ParamExtraction_Multiple-8   	 3104629	       367.2 ns/op	      48 B/op	       6 allocs/op
BenchmarkRouter_ParamExtraction_Multiple-8   	 3167131	       368.0 ns/op	      48 B/op	       6 allocs/op
BenchmarkRouter_ParamExtraction_Multiple-8   	 3153603	       381.7 ns/op	      48 B/op	       6 allocs/op
BenchmarkRouter_ParamExtraction_Multiple-8   	 3122908	       368.1 ns/op	      48 B/op	       6 allocs/op
BenchmarkRouter_Concurrent-8                 	 7419804	       178.3 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_Concurrent-8                 	 6938082	       178.2 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_Concurrent-8                 	 6881812	       176.9 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_Concurrent-8                 	 6692700	       181.3 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_Concurrent-8                 	 6884976	       180.9 ns/op	      37 B/op	       4 allocs/op
BenchmarkBolt_StaticRoute-8                  	1000000000	         0.2919 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_StaticRoute-8                  	1000000000	         0.2861 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_StaticRoute-8                  	1000000000	         0.2952 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_StaticRoute-8                  	1000000000	         0.2892 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_StaticRoute-8                  	1000000000	         0.2879 ns/op	       0 B/op	       0 allocs/op
BenchmarkGin_StaticRoute-8                   	 4213285	       307.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkGin_StaticRoute-8                   	 3656527	       308.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkGin_StaticRoute-8                   	 4082415	       325.2 ns/op	      40 B/op	       2 allocs/op
